Config,Cores,Total_Alg_Time,Int_Time,Norm_Time,Mover_Time,Denorm_Time,Voids
A,1,0.474090,0.319846,0.000918,0.153124,0.000202,3
A,2,0.746488,0.660363,0.000568,0.085408,0.000148,3
A,4,0.906240,0.854286,0.000502,0.051234,0.000219,3
A,6,0.215692,0.178447,0.000494,0.036522,0.000230,3
A,8,0.180387,0.148131,0.000371,0.031650,0.000235,3
A,10,0.186936,0.151393,0.000599,0.034669,0.000275,3
A,12,0.179467,0.149725,0.000666,0.028828,0.000248,3
A,14,0.192113,0.162584,0.000491,0.028700,0.000338,3
A,16,0.163665,0.136347,0.000518,0.026523,0.000277,3
B,1,2.637712,1.780838,0.000953,0.855698,0.000222,17
B,2,4.062277,3.595543,0.000593,0.465965,0.000176,17
B,4,1.612440,1.303345,0.000542,0.307847,0.000705,17
B,6,1.238514,0.964778,0.000698,0.272355,0.000684,17
B,8,2.961795,2.700955,0.000775,0.259316,0.000749,17
B,10,1.194961,0.938085,0.000462,0.255629,0.000785,17
B,12,1.177394,0.938738,0.000660,0.237436,0.000562,17
B,14,1.141781,0.919033,0.000819,0.221225,0.000705,17
B,16,2.318248,2.096808,0.007675,0.213303,0.000462,17
C,1,2.354248,1.470226,0.003714,0.879481,0.000828,2
C,2,2.500291,1.715055,0.002394,0.781174,0.001668,2
C,4,1.433788,0.966897,0.001890,0.463468,0.001534,2
C,6,1.139939,0.762388,0.001540,0.374423,0.001587,2
C,8,0.932908,0.616985,0.001108,0.313641,0.001175,2
C,10,0.900172,0.623192,0.001154,0.274261,0.001566,2
C,12,0.807559,0.600639,0.001448,0.204006,0.001466,2
C,14,0.783776,0.603837,0.001418,0.176916,0.001606,2
C,16,0.768183,0.571745,0.005781,0.189151,0.001506,2
D,1,12.647450,8.118973,0.003745,4.523916,0.000816,5
D,2,13.463340,9.464322,0.002168,3.995536,0.001313,5
D,4,8.498493,6.213166,0.001791,2.282055,0.001481,5
D,6,6.168038,4.626489,0.001210,1.539153,0.001185,5
D,8,5.211935,3.977363,0.001153,1.232455,0.000963,5
D,10,4.854748,3.756472,0.001556,1.095735,0.000985,5
D,12,10.287775,9.161945,0.004592,1.120211,0.001029,5
D,14,9.838199,8.748004,0.004518,1.083498,0.002179,5
D,16,4.060149,3.041355,0.006998,1.008874,0.002921,5
E,1,9.303427,5.971160,0.013731,3.315366,0.003170,0
E,2,7.239073,5.016578,0.007748,2.211789,0.002959,0
E,4,14.960953,13.126193,0.005050,1.826523,0.003188,0
E,6,5.382267,3.423370,0.004390,1.950975,0.003533,0
E,8,7.829200,5.998541,0.004603,1.821777,0.004278,0
E,10,9.690975,8.451482,0.005128,1.230792,0.003574,0
E,12,3.079634,2.260926,0.004650,0.809755,0.004303,0
E,14,3.112104,2.308077,0.008227,0.791721,0.004079,0
E,16,2.890814,2.184392,0.013319,0.688740,0.004363,0
